"Counting","SA2 (UR)","INCP Total Personal Income (weekly)","Count"
"Persons Place of Usual Residence","Braidwood","Negative income",17
"Persons Place of Usual Residence","Braidwood","Nil income",213
"Persons Place of Usual Residence","Braidwood","$1-$149 ($1-$7,799)",110
"Persons Place of Usual Residence","Braidwood","$150-$299 ($7,800-$15,599)",224
"Persons Place of Usual Residence","Braidwood","$300-$399 ($15,600-$20,799)",323
"Persons Place of Usual Residence","Braidwood","$400-$499 ($20,800-$25,999)",333
"Persons Place of Usual Residence","Braidwood","$500-$649 ($26,000-$33,799)",249
"Persons Place of Usual Residence","Braidwood","$650-$799 ($33,800-$41,599)",244
"Persons Place of Usual Residence","Braidwood","$800-$999 ($41,600-$51,999)",221
"Persons Place of Usual Residence","Braidwood","$1,000-$1,249 ($52,000-$64,999)",256
"Persons Place of Usual Residence","Braidwood","$1,250-$1,499 ($65,000-$77,999)",144
"Persons Place of Usual Residence","Braidwood","$1,500-$1,749 ($78,000-$90,999)",132
"Persons Place of Usual Residence","Braidwood","$1,750-$1,999 ($91,000-$103,999)",91
"Persons Place of Usual Residence","Braidwood","$2,000-$2,999 ($104,000-$155,999)",135
"Persons Place of Usual Residence","Braidwood","$3,000 or more ($156,000 or more)",68
"Persons Place of Usual Residence","Braidwood","Not stated",463
"Persons Place of Usual Residence","Braidwood","Not applicable",649
"Persons Place of Usual Residence","Braidwood","Total",3875
"Persons Place of Usual Residence","Karabar","Negative income",30
"Persons Place of Usual Residence","Karabar","Nil income",432
"Persons Place of Usual Residence","Karabar","$1-$149 ($1-$7,799)",249
"Persons Place of Usual Residence","Karabar","$150-$299 ($7,800-$15,599)",394
"Persons Place of Usual Residence","Karabar","$300-$399 ($15,600-$20,799)",471
"Persons Place of Usual Residence","Karabar","$400-$499 ($20,800-$25,999)",485
"Persons Place of Usual Residence","Karabar","$500-$649 ($26,000-$33,799)",415
"Persons Place of Usual Residence","Karabar","$650-$799 ($33,800-$41,599)",546
"Persons Place of Usual Residence","Karabar","$800-$999 ($41,600-$51,999)",683
"Persons Place of Usual Residence","Karabar","$1,000-$1,249 ($52,000-$64,999)",665
"Persons Place of Usual Residence","Karabar","$1,250-$1,499 ($65,000-$77,999)",565
"Persons Place of Usual Residence","Karabar","$1,500-$1,749 ($78,000-$90,999)",399
"Persons Place of Usual Residence","Karabar","$1,750-$1,999 ($91,000-$103,999)",268
"Persons Place of Usual Residence","Karabar","$2,000-$2,999 ($104,000-$155,999)",421
"Persons Place of Usual Residence","Karabar","$3,000 or more ($156,000 or more)",104
"Persons Place of Usual Residence","Karabar","Not stated",488
"Persons Place of Usual Residence","Karabar","Not applicable",1620
"Persons Place of Usual Residence","Karabar","Total",8241
"Persons Place of Usual Residence","Queanbeyan","Negative income",31
"Persons Place of Usual Residence","Queanbeyan","Nil income",491
"Persons Place of Usual Residence","Queanbeyan","$1-$149 ($1-$7,799)",241
"Persons Place of Usual Residence","Queanbeyan","$150-$299 ($7,800-$15,599)",433
"Persons Place of Usual Residence","Queanbeyan","$300-$399 ($15,600-$20,799)",619
"Persons Place of Usual Residence","Queanbeyan","$400-$499 ($20,800-$25,999)",653
"Persons Place of Usual Residence","Queanbeyan","$500-$649 ($26,000-$33,799)",626
"Persons Place of Usual Residence","Queanbeyan","$650-$799 ($33,800-$41,599)",792
"Persons Place of Usual Residence","Queanbeyan","$800-$999 ($41,600-$51,999)",909
"Persons Place of Usual Residence","Queanbeyan","$1,000-$1,249 ($52,000-$64,999)",956
"Persons Place of Usual Residence","Queanbeyan","$1,250-$1,499 ($65,000-$77,999)",708
"Persons Place of Usual Residence","Queanbeyan","$1,500-$1,749 ($78,000-$90,999)",624
"Persons Place of Usual Residence","Queanbeyan","$1,750-$1,999 ($91,000-$103,999)",376
"Persons Place of Usual Residence","Queanbeyan","$2,000-$2,999 ($104,000-$155,999)",521
"Persons Place of Usual Residence","Queanbeyan","$3,000 or more ($156,000 or more)",134
"Persons Place of Usual Residence","Queanbeyan","Not stated",1049
"Persons Place of Usual Residence","Queanbeyan","Not applicable",1671
"Persons Place of Usual Residence","Queanbeyan","Total",10838
